net.minecraft.world.entity.AgeableMob#AGE_LOCKED	17	8
net.minecraft.world.entity.AgeableMob#DATA_BABY_ID	16	8
net.minecraft.world.entity.AreaEffectCloud#DATA_PARTICLE	10	16
net.minecraft.world.entity.AreaEffectCloud#DATA_RADIUS	8	3
net.minecraft.world.entity.AreaEffectCloud#DATA_WAITING	9	8
net.minecraft.world.entity.Avatar#DATA_PLAYER_MAIN_HAND	15	42
net.minecraft.world.entity.Avatar#DATA_PLAYER_MODE_CUSTOMISATION	16	0
net.minecraft.world.entity.Display#DATA_BILLBOARD_RENDER_CONSTRAINTS_ID	15	0
net.minecraft.world.entity.Display#DATA_BRIGHTNESS_OVERRIDE_ID	16	1
net.minecraft.world.entity.Display#DATA_GLOW_COLOR_OVERRIDE_ID	22	1
net.minecraft.world.entity.Display#DATA_HEIGHT_ID	21	3
net.minecraft.world.entity.Display#DATA_LEFT_ROTATION_ID	13	40
net.minecraft.world.entity.Display#DATA_POS_ROT_INTERPOLATION_DURATION_ID	10	1
net.minecraft.world.entity.Display#DATA_RIGHT_ROTATION_ID	14	40
net.minecraft.world.entity.Display#DATA_SCALE_ID	12	39
net.minecraft.world.entity.Display#DATA_SHADOW_RADIUS_ID	18	3
net.minecraft.world.entity.Display#DATA_SHADOW_STRENGTH_ID	19	3
net.minecraft.world.entity.Display#DATA_TRANSFORMATION_INTERPOLATION_DURATION_ID	9	1
net.minecraft.world.entity.Display#DATA_TRANSFORMATION_INTERPOLATION_START_DELTA_TICKS_ID	8	1
net.minecraft.world.entity.Display#DATA_TRANSLATION_ID	11	39
net.minecraft.world.entity.Display#DATA_VIEW_RANGE_ID	17	3
net.minecraft.world.entity.Display#DATA_WIDTH_ID	20	3
net.minecraft.world.entity.Entity#DATA_AIR_SUPPLY_ID	1	1
net.minecraft.world.entity.Entity#DATA_CUSTOM_NAME	2	6
net.minecraft.world.entity.Entity#DATA_CUSTOM_NAME_VISIBLE	3	8
net.minecraft.world.entity.Entity#DATA_NO_GRAVITY	5	8
net.minecraft.world.entity.Entity#DATA_POSE	6	20
net.minecraft.world.entity.Entity#DATA_SHARED_FLAGS_ID	0	0
net.minecraft.world.entity.Entity#DATA_SILENT	4	8
net.minecraft.world.entity.Entity#DATA_TICKS_FROZEN	7	1
net.minecraft.world.entity.ExperienceOrb#DATA_VALUE	8	1
net.minecraft.world.entity.Interaction#DATA_HEIGHT_ID	9	3
net.minecraft.world.entity.Interaction#DATA_RESPONSE_ID	10	8
net.minecraft.world.entity.Interaction#DATA_WIDTH_ID	8	3
net.minecraft.world.entity.LivingEntity#DATA_ARROW_COUNT_ID	12	1
net.minecraft.world.entity.LivingEntity#DATA_EFFECT_AMBIENCE_ID	11	8
net.minecraft.world.entity.LivingEntity#DATA_EFFECT_PARTICLES	10	17
net.minecraft.world.entity.LivingEntity#DATA_HEALTH_ID	9	3
net.minecraft.world.entity.LivingEntity#DATA_LIVING_ENTITY_FLAGS	8	0
net.minecraft.world.entity.LivingEntity#DATA_STINGER_COUNT_ID	13	1
net.minecraft.world.entity.LivingEntity#SLEEPING_POS_ID	14	11
net.minecraft.world.entity.Mob#DATA_MOB_FLAGS_ID	15	0
net.minecraft.world.entity.OminousItemSpawner#DATA_ITEM	8	7
net.minecraft.world.entity.TamableAnimal#DATA_FLAGS_ID	18	0
net.minecraft.world.entity.TamableAnimal#DATA_OWNERUUID_ID	19	13
net.minecraft.world.entity.ambient.Bat#DATA_ID_FLAGS	16	0
net.minecraft.world.entity.animal.allay.Allay#DATA_CAN_DUPLICATE	17	8
net.minecraft.world.entity.animal.allay.Allay#DATA_DANCING	16	8
net.minecraft.world.entity.animal.armadillo.Armadillo#ARMADILLO_STATE	18	36
net.minecraft.world.entity.animal.axolotl.Axolotl#DATA_PLAYING_DEAD	19	8
net.minecraft.world.entity.animal.axolotl.Axolotl#DATA_VARIANT	18	1
net.minecraft.world.entity.animal.axolotl.Axolotl#FROM_BUCKET	20	8
net.minecraft.world.entity.animal.bee.Bee#DATA_ANGER_END_TIME	19	2
net.minecraft.world.entity.animal.bee.Bee#DATA_FLAGS_ID	18	0
net.minecraft.world.entity.animal.camel.Camel#DASH	19	8
net.minecraft.world.entity.animal.camel.Camel#LAST_POSE_CHANGE_TICK	20	2
net.minecraft.world.entity.animal.chicken.Chicken#DATA_SOUND_VARIANT_ID	19	31
net.minecraft.world.entity.animal.chicken.Chicken#DATA_VARIANT_ID	18	30
net.minecraft.world.entity.animal.cow.Cow#DATA_SOUND_VARIANT_ID	19	24
net.minecraft.world.entity.animal.cow.Cow#DATA_VARIANT_ID	18	23
net.minecraft.world.entity.animal.cow.MushroomCow#DATA_TYPE	18	1
net.minecraft.world.entity.animal.dolphin.Dolphin#GOT_FISH	18	8
net.minecraft.world.entity.animal.dolphin.Dolphin#MOISTNESS_LEVEL	19	1
net.minecraft.world.entity.animal.equine.AbstractChestedHorse#DATA_ID_CHEST	19	8
net.minecraft.world.entity.animal.equine.AbstractHorse#DATA_ID_FLAGS	18	0
net.minecraft.world.entity.animal.equine.Horse#DATA_ID_TYPE_VARIANT	19	1
net.minecraft.world.entity.animal.equine.Llama#DATA_STRENGTH_ID	20	1
net.minecraft.world.entity.animal.equine.Llama#DATA_VARIANT_ID	21	1
net.minecraft.world.entity.animal.feline.Cat#DATA_COLLAR_COLOR	23	1
net.minecraft.world.entity.animal.feline.Cat#DATA_SOUND_VARIANT_ID	24	22
net.minecraft.world.entity.animal.feline.Cat#DATA_VARIANT_ID	20	21
net.minecraft.world.entity.animal.feline.Cat#IS_LYING	21	8
net.minecraft.world.entity.animal.feline.Cat#RELAX_STATE_ONE	22	8
net.minecraft.world.entity.animal.feline.Ocelot#DATA_TRUSTING	18	8
net.minecraft.world.entity.animal.fish.AbstractFish#FROM_BUCKET	16	8
net.minecraft.world.entity.animal.fish.Pufferfish#PUFF_STATE	17	1
net.minecraft.world.entity.animal.fish.Salmon#DATA_TYPE	17	1
net.minecraft.world.entity.animal.fish.TropicalFish#DATA_ID_TYPE_VARIANT	17	1
net.minecraft.world.entity.animal.fox.Fox#DATA_FLAGS_ID	19	0
net.minecraft.world.entity.animal.fox.Fox#DATA_TRUSTED_ID_0	20	13
net.minecraft.world.entity.animal.fox.Fox#DATA_TRUSTED_ID_1	21	13
net.minecraft.world.entity.animal.fox.Fox#DATA_TYPE_ID	18	1
net.minecraft.world.entity.animal.frog.Frog#DATA_TONGUE_TARGET_ID	19	19
net.minecraft.world.entity.animal.frog.Frog#DATA_VARIANT_ID	18	27
net.minecraft.world.entity.animal.frog.Tadpole#AGE_LOCKED	17	8
net.minecraft.world.entity.animal.goat.Goat#DATA_HAS_LEFT_HORN	19	8
net.minecraft.world.entity.animal.goat.Goat#DATA_HAS_RIGHT_HORN	20	8
net.minecraft.world.entity.animal.goat.Goat#DATA_IS_SCREAMING_GOAT	18	8
net.minecraft.world.entity.animal.golem.CopperGolem#COPPER_GOLEM_STATE	17	37
net.minecraft.world.entity.animal.golem.CopperGolem#DATA_WEATHER_STATE	16	38
net.minecraft.world.entity.animal.golem.IronGolem#DATA_FLAGS_ID	16	0
net.minecraft.world.entity.animal.golem.SnowGolem#DATA_PUMPKIN_ID	16	0
net.minecraft.world.entity.animal.happyghast.HappyGhast#IS_LEASH_HOLDER	18	8
net.minecraft.world.entity.animal.happyghast.HappyGhast#STAYS_STILL	19	8
net.minecraft.world.entity.animal.nautilus.AbstractNautilus#DASH	20	8
net.minecraft.world.entity.animal.nautilus.ZombieNautilus#DATA_VARIANT_ID	21	32
net.minecraft.world.entity.animal.panda.Panda#DATA_ID_FLAGS	23	0
net.minecraft.world.entity.animal.panda.Panda#EAT_COUNTER	20	1
net.minecraft.world.entity.animal.panda.Panda#HIDDEN_GENE_ID	22	0
net.minecraft.world.entity.animal.panda.Panda#MAIN_GENE_ID	21	0
net.minecraft.world.entity.animal.panda.Panda#SNEEZE_COUNTER	19	1
net.minecraft.world.entity.animal.panda.Panda#UNHAPPY_COUNTER	18	1
net.minecraft.world.entity.animal.parrot.Parrot#DATA_VARIANT_ID	20	1
net.minecraft.world.entity.animal.pig.Pig#DATA_BOOST_TIME	18	1
net.minecraft.world.entity.animal.pig.Pig#DATA_SOUND_VARIANT_ID	20	29
net.minecraft.world.entity.animal.pig.Pig#DATA_VARIANT_ID	19	28
net.minecraft.world.entity.animal.polarbear.PolarBear#DATA_STANDING_ID	18	8
net.minecraft.world.entity.animal.rabbit.Rabbit#DATA_TYPE_ID	18	1
net.minecraft.world.entity.animal.sheep.Sheep#DATA_WOOL_ID	18	0
net.minecraft.world.entity.animal.sniffer.Sniffer#DATA_DROP_SEED_AT_TICK	19	1
net.minecraft.world.entity.animal.sniffer.Sniffer#DATA_STATE	18	35
